station_id,recorded_years
USC00110072,30
USC00110187,29
USC00110338,30
USC00111280,27
USC00111436,30
USC00112140,30
USC00112193,30
USC00112348,27
USC00112483,30
USC00113335,30
USC00113879,28
USC00114108,30
USC00114198,30
USC00114442,30
USC00114823,30
USC00115079,30
USC00115326,29
USC00115515,18
USC00115712,30
USC00115768,30
USC00115833,30
USC00115901,30
USC00115943,30
USC00116446,30
USC00116526,30
USC00116558,30
USC00116579,29
USC00116610,30
USC00116738,23
USC00116910,30
USC00117551,30
USC00118147,28
USC00118740,30
USC00118916,30
USC00119241,30
USC00119354,30
USC00120177,30
USC00120200,30
USC00120676,30
USC00120784,30
USC00121030,29
USC00121229,17
USC00121425,17
USC00121747,30
USC00121873,30
USC00122149,27
USC00123418,30
USC00123513,29
USC00123527,30
USC00124008,16
USC00124181,30
USC00124837,30
USC00125237,27
USC00125337,30
USC00126001,30
USC00126580,30
USC00126705,30
USC00127125,30
USC00127298,30
USC00127482,30
USC00127522,30
USC00127646,30
USC00127755,27
USC00127875,25
USC00127935,29
USC00128036,30
USC00129080,22
USC00129113,30
USC00129253,30
USC00129511,20
USC00129557,30
USC00129670,30
USC00130112,30
USC00130133,30
USC00130600,30
USC00131402,30
USC00131533,30
USC00131635,30
USC00132724,30
USC00132789,30
USC00132864,30
USC00132977,30
USC00132999,30
USC00134063,30
USC00134142,30
USC00134735,30
USC00134894,30
USC00135769,30
USC00135796,30
USC00135952,30
USC00137147,30
USC00137161,30
USC00137979,30
USC00138296,30
USC00138688,30
USC00250070,26
USC00250130,30
USC00250375,30
USC00250420,30
USC00250435,30
USC00250622,28
USC00250640,30
USC00251145,30
USC00251200,30
USC00252020,30
USC00252100,30
USC00252205,30
USC00252820,30
USC00252840,27
USC00253035,6
USC00253175,30
USC00253185,30
USC00253365,30
USC00253615,30
USC00253630,30
USC00253660,30
USC00253715,25
USC00253735,30
USC00253910,30
USC00254110,28
USC00254440,30
USC00254900,26
USC00254985,28
USC00255080,28
USC00255310,30
USC00255470,26
USC00255565,30
USC00256040,25
USC00256135,30
USC00256570,30
USC00256970,30
USC00257070,30
USC00257515,25
USC00257715,30
USC00258133,26
USC00258395,30
USC00258465,30
USC00258480,30
USC00258915,30
USC00259090,26
USC00259510,24
USC00331072,30
USC00331152,25
USC00331541,30
USC00331592,30
USC00331890,28
USC00332098,30
USC00332119,17
USC00332791,30
USC00333375,30
USC00333758,30
USC00333780,30
USC00334189,30
USC00335041,28
USC00335297,27
USC00335315,29
USC00336118,30
USC00336196,25
USC00336600,29
USC00336781,30
USC00338313,27
USC00338534,29
USC00338552,30
USC00338769,30
USC00338822,30
USC00338830,30
USC00339312,30
